#1
double gear1(12,6)
0 1 2 3 4 5
-0.01 5 10 15 20 30
0.10 8.730 14.007 21.00 30.00 40.50
0.20 10.37 16.586 23.00 37.78 49.52
0.30 11.99 19.120 30.69 43.78 57.17
0.40 13.59 21.610 34.89 49.65 64.53
0.50 15.18 30.000 38.88 55.30 72.43
0.60 16.76 34.000 43.03 61.48 81.43
0.70 18.32 39.230 47.40 67.89 90.49
0.80 19.95 42.000 55.46 74.55 99.42
0.90 21.56 42.370 56.29 80.73 108.13
1.00 22.87 46.000 61.06 87.62 117.46
double gear2(12,6)
0 1 2 3 4 5
0.01 5 8 15 20 30
0.10 6.11 9.80 18 24 32.4
0.20 7.26 11.61 21 30.23 39.62
0.30 8.39 13.38 25 35.03 45.74
0.40 9.52 15.13 28 39.72 51.63
0.50 11.38 22.5 33 47.00 61.56
0.60 12.57 25.5 37 52.26 69.21
0.70 13.74 29.42 43 57.71 76.91
0.80 17.95 37.81 49.91 65.6 76.91
0.90 19.41 38.14 50.66 71.04 95.16
1.00 20.78 41.4 54.95 77.1 103.36
